	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 21:06:37 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-4.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  287156  799377  1553394  2467108 1599680  571375 1421755   913649  1638743  1017549  1033216 2298136  2444640
              64       8  340738 1105556  2067979  3363612 2467108  771797 2203800  1336792  2561267  1484662  1452528 3203069  3363612
              64      16  365812 1279447  2772930  4897948 4018152 1066042 3203069  1780008  4018152  1780008  1991276 4897948  4988978
              64      32  380864 1304314  4018152  7100397 5389653 1017549 4018152  2006158  5283570  1879725  3057153 5860307  6421025
              64      64  390278 1163036  7100397  7293312 6421025 1087638 4897948  2203800  6421025  2222043  2133730 6421025  7100397
             128       4  327399  895074  1269781  2511022 1637771  669577 1539168   927549  1637771  1024942  1024942 2464907  2464907
             128       8  365515 1059322  1306873  3468030 1732927  901083 2238774  1332828  2511022  1373754  1421023 3277486  3468030
             128      16  396564 1240443  1421023  5122535 3982553  876086 2905056  1802755  3982553  1827299  1858934 4934216  5074121
             128      32  396271 1266785  3036502  6406138 5379161  907174 4759253  2166499  5325799  2326073  2420455 6406138  6727225
             128      64  423798 1521718  2166499  7176872 6406138  940549 4135958  2286447  3277486  1254941  1543594 3759450  7476717
