	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 20:46:19 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
            4096       8  874658 3175103  9461292  9868918 8824645 3624593 8788530  5119446  8752710  3393349  3454069 9461292  9508420
            4096      16  936242 3286877  9267351  9593374 9105266 3912691 9019223  5113352  9000323  3595765  3586757 9267351  9482180
            4096      32  957052 3447830  9658092  9461292 9545402 4179197 9503161  5252488  9524234  3700320  3699523 9707206  9373535
            4096      64  972217 3447830  9846293  9636422 9914481 4311344 9779037  5299475  9846293  3753681  3765198 9966244  9593374
            4096     128  981549 3421735  9353122  9503161 9373535 4157956 9332798  4995882  9373535  3686820  3627654 9394037  9414629
            4096     256  979199 3335375  8925508  9062041 9023961 4087714 8939441  4701910  9751284  3612399  3593509 9005041  9023961
            4096     512  973153 3295072  8902382  9124610 8730470 3817065 9042961  4546375  9081201  3778448  3867766 9023961  9119767
            4096    1024  974091 3382659  9000323  9183139 9163546 4154939 9105266  4476482  9163546  4043458  4376138 9163546  9183139
            4096    2048  965985 3360164  8962759  9081201 9081201 4051086 9000323  4262142  8625273  3237937  5704175 8962759  9100443
            4096    4096  946402 3136268  8480511  8514134 8607986 3980686 8430572  4023571  8443002  4043458  3972402 8256354  8590769
