	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 02:16:35 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  512471 1279447  2662899  3363612 2203800 1232453 1879725   998622  2298136  1421755  1392258 2662899  3203069
              64       8  686877 1780008  4897948  5860307 4018152 1892980 3203069  2133730  4018152  2133730  2052169 4897948  5389653
              64      16  799377 2203800  7100397  7293312 5735102 2561267 4274062  2801873  5735102  2561267  2772930 5735102  7100397
              64      32  863676 2467108  7940539 10402178 7100397 3203069 5389653  3363612  7100397  2561267  4018152 7940539  9006179
              64      64  901377 2662899 10402178 12902017 9006179 3588436 5860307  3541098  7940539  3541098  3203069 9006179 10402178
             128       4  597981 1346196  3124872  3277486 2211113 1229084 2027414  1373754  2140585  1152564  1336145 3053774  3124872
             128       8  805138 1911894  4934216  5325799 3759450 1905110 3359523  2166499  4135958  2132084  2035099 4934216  4934216
             128      16  940549 2367096  6406138  7176872 5325799 2558895 4596273  2905056  5603747  2905056  2727923 6406138  6812590
             128      32 1022989 2784517  8036304  9129573 7082197 3124872 6114306  3560017  7582312  3759450  3560017 8036304  8548124
             128      64 1074159 2905056  9977956 10567140 9129573 3657016 6727225  3895854  8548124  2511022  4889281 9129573  9795896
             128     128 1007629 3124872 10779307 11720614 9795896 3759450 7582312  3759450  9129573  3657016  3560017 9129573  9977956
             256       4  628725 1254656  3159869  3236056 2205688 1243036 1911233  1369908  2170027  1445521  1422540 3087188  3123106
             256       8  861885 1938842  4929815  5117791 3756894 1924938 3410808  2223962  3605511  2097948  2061693 4840911  5022044
             256      16 1008392 2458168  6249745  6595234 5347168 2588541 4734192  2975955  5810112  2747508  2639446 6398720  6554972
             256      32 1044693 2872459  8024634  8534922 7314033 3245838 6398720  3756894  8024634  3368013  3275543 7965107  8271916
             256      64 1168627 3114048  9868433 10245071 5569035 3605511 7518900  4197489  9518507  4132864  3935921 9114515  9868433
             256     128 1202660 3236056  9868433 10245071 9114515 3823789 8271916  4054829  9434868  2441400  5540300 9434868  9868433
             256     256 1103757 3236056  9434868  9868433 9192546 3756894 8271916  3756894  9192546  3823789  3654598 9434868  9434868
             512       4  635198 1383861  3140488  3158966 2178404 1242896 2097550  1388334  2160868  1402845  1411141 3046915  3086326
             512       8  885631 1975959  5019764  5079126 3684733 1910902 3533174  2225819  3684733  2065273  2047551 4882800  4927617
             512      16 1017858 2497638  6395018  6571132 5278892 2584820 4916336  2995907  5164632  2655129  2625909 6338392  6472112
             512      32 1150351 2942541  8140399  8265729 7211022 2891043 6652558  3795443  8018812  3182373  3122224 7988981  8109658
             512      64 1222379 3215731  9304292  9638369 8528336 3653390 8140399  4340054  9814569  3634839  3580298 9145790  9468384
             512     128 1252318 3325278  9510316  9859630 9145790 3815675 8394979  4375425  9859630  4195896  4099771 8955098  9510316
             512     256 1248678 3299730  9468384  9304292 9145790 3815675 8528336  4000485  9304292  2497638  5566231 9145790  9304292
             512     512 1158418 3366987  9468384  9681823 9468384 3849877 8844453  3849877  9304292  3877684  3822466 9468384  9638369
