	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 05:10:28 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  397796 1033216  2203800  2662899 1679761  929467 1492919   955947  1768283  1066042  1083249 2358717  2561267
              64       8  524487 1304314  3588436  3541098 2444640 1330167 2222043  1392258  2561267  1562436  1518251 3541098  3363612
              64      16  532815 1648808  4897948  5860307 4274062 1143223 3363612  1879725  4274062  1828508  2133730 4988978  5283570
              64      32  592827 1780008  6421025  6421025 5860307 2133730 4274062  2203800  5735102  2067979  3165299 6421025  6421025
              64      64  555990 1933893  8182586  7940539 7100397 2379626 5283570  2278628  7100397  2467108  2203800 7100397  7940539
             128       4  452366 1065630  2608629  2660335 1710838  955616 1579934   990891  1705404   962469  1093856 2608629  2511022
             128       8  576780 1406136  3445772  3536566 2660335 1359835 2420455  1440082  2558895  1504659  1492113 3445772  3445772
             128      16  636249 1727352  5325799  5325799 4267461 1802755 3036502  1975201  4135958  1997245  1939522 5325799  5379161
             128      32  677178 1911894  6727225  7176872 5784891 2166499 4934216  2286447  5784891  2621367  2571150 6727225  7176872
             128      64  699227 2058509  8036304  8036304 7082197 2367096 5847904  2511022  7082197  1939522  3867787 7582312  8036304
             128     128  656477 1579934  8036304  6727225 4934216 2166499 6406138  2558895  8036304  2499332  2464907 8036304  8548124
             256       4  467086 1062263  2582316  2557711 1675612  930608 1540948   973645  1732384  1080434  1070737 2371308  2533571
             256       8  583299 1437779  3454704  3499745 2582316 1376935 2413957  1437779  2563818  1506359  1479379 3368013  3454704
             256      16  656399 1740810  5455847  5569035 4350555 1814348 3935921  1981783  4332998  1894373  1897721 5428265  5428265
             256      32  701422 1970871  6936061  6936061 5810112 2165650 5428265  2413957  6073004  2350543  2285501 5810112  6761355
             256      64  735537 2118645  8024634  7965107 7314033 2081678 4929815  2639446  7120034  2812272  2812272 7791708  7965107
             256     128  740100 2192179  7965107  8271916 7735574 2533571 7120034  2692393  7965107  1911233  3994490 7965107  8271916
             256     256  691930 2170027  8815202  8815202 8534922 2607399 5320671  2613746  8271916  2639446  2187712 8271916  8815202
             512       4  472306  917804  2297251  2572435 1700565  924521 1459080   850554  1667552  1047141   857687 2307123  2337255
             512       8  541773 1322500  3320137  3481620 2548017 1357615 2198475  1441452  2509312  1454140  1347393 2926501  3372274
             512      16  666753 1585086  4340054  5495016 4340054 1783912 3346002  1968713  4305250  1827947  1809465 3481620  5509113
             512      32  634448 1679288  5439343  6174377 5067142 1821745 4195896  1954379  4375425  1640796  1766304 4871723  5164632
             512      64  725303 1747618  5886650  7900804 7211022 2357784 4742616  2681653  7115451  2402629  2207515 5439343  8018812
             512     128  745445 1889050  6018636  8528336 8109658 2413429 6491676  2815243  7988981  2681653  2521095 5453155  8528336
             512     256  733478 1952602  7115451  8808176 8394979 2572435 5384786  2782414  8528336  1815584  3064306 5453155  8844453
             512     512  709019 1961520  8844453  8955098 8528336 2560168 5115422  2600470  5624545  2613128  2205248 5624545  8844453
            1024       4  475854  949834  2225595  2561398 1693061  897438 1490373   975063  1689730  1014685   957884 2115949  2403712
            1024       8  582462 1265904  2796556  3469823 2474336 1335165 2086145  1135391  2579861  1424152  1311117 2694787  3458646
            1024      16  646851 1276817  4044965  4339202 3849207 1607514 2782064  1494522  3311958  1450117  1393200 3722435  4304412
            1024      32  678637 1834824  5444898  6733974 5789881 2142335 4374559  2443368  5751117  2120127  1892218 5821271  5885083
            1024      64  718005 1958662  5194651  6918376 7066349 2375790 5853003  2674649  7066349  2295784  2064088 4700088  7755368
            1024     128  658959 1927891  5758828  8122014 7927135 2455943 5303701  2877110  8183918  2338280  2188177 5593820  8391792
            1024     256  730833 2019445  6364746  8457895 8262639 2534194 5564829  2892612  8457895  2497356  2455943 5853003  8391792
            1024     512  736220 1942715  7319232  8326715 7631350 2480051 5991815  2852271  3579719  1370965  3324778 5251818  7590887
            1024    1024  684042 1885572  6244448  6364746 2333199 2179295 5144870  2265510  5226256  2275110  2035716 5330028  6244448
            2048       4  473305  945527  2104960  2392202 1594033  887682 1419400   977594  1601164  1014422   945111 2081497  2265394
            2048       8  569820 1226291  2701402  3185225 2412357 1272054 2178635  1421279  2378293  1337619  1237420 2722809  3117032
            2048      16  638001 1308482  2426668  4562305 3600433 1235285 3195891  1958129  3477979  1634370  1526066 3908414  4394265
            2048      32  668383 1722532  4663865  4971585 5009275 1914061 3709263  2420514  4853603  1920909  1739978 4414590  5184636
            2048      64  695664 1720807  4900677  6207471 5953632 2115848 4472047  2653011  5267294  2104960  2014144 4643695  5937172
            2048     128  713105 1790388  5362657  5754221 6132138 2238241 4633675  2909075  8120522  2167639  1992189 4120256  6167360
            2048     256  686107 1732957  5280246  6623917 6738230 2188069 5056455  2972495  8159088  2250555  2199836 5264067  6416117
            2048     512  701631 1657071  5095447  6603549 6401772 2235328 4432815  2897301  7999524  2365196  2167092 4481379  6284678
            2048    1024  687920 1693663  5172149  5372719 5056455 1994039 3841986  2255875  4613765  1702391  2716781 3329682  4994712
            2048    2048  628019 1388428  4257067  4293237 4319142 1963500 3657149  1976603  3630870  1958129  1825390 3555722  4248644
            4096       4  471510  906216  1786999  2121022 1512604  839524 1343352   958547  1493277   942043   884065 1928414  2098226
            4096       8  570877 1163963  2587405  2904553 2273129 1208249 1937548  1432634  2268027  1280473  1207909 2415343  2880206
            4096      16  637807 1427633  3210107  3984379 3316701 1497051 2595614  1974060  3279348  1560982  1486172 3485604  3362795
            4096      32  580483 1420786  3683658  4385074 4307020 1790165 3497668  2402172  4275933  1773166  1639800 3415612  4438318
            4096      64  696816 1617719  3751222  4768469 4924283 1791845 3874745  2773270  5019235  1905950  1685655 4007615  4796426
            4096     128  714850 1600687  3621537  4842392 5340661 2025735 2832715  2794017  4158963  1667170  1731351 3894067  5252488
            4096     256  706821 1649720  4244242  5642353 5618365 2057270 3821310  3003050  8569343  1952300  1771703 3666363  5332372
            4096     512  711829 1627373  3789282  5375755 5704175 2020731 3853884  2996241  8224733  1915940  1725439 3709909  5433562
            4096    1024  667106 1540960  4117102  4696769 4495223 1958756 3637640  2362206  5556581  1983405  1580949 3263773  4244242
            4096    2048  655675 1498226  3346419  3308398 2861973 1526176 3151225  1985468  4076076  1480792  2337777 3040789  3827269
            4096    4096  625136 1410404  3063563  3309035 3199942 1608179 2692851  1491721  2884558  1596819  1564536 2625764  2730514
            8192       4  466648  895395  1810713  1790613 1407332  770435 1274243   982133  1401076   895675   837637 1838814  1849703
            8192       8  568655 1116525  2338541  2307601 2034709 1090376 1856299  1429879  2053558  1167118  1138727 2341250  2352793
            8192      16  633373 1182258  2922540  3024144 2889605 1373576 2594008  2011834  2658845  1414341  1367616 2866224  3026275
            8192      32  657882 1486160  3213952  3345053 3094689 1555034 3103074  2486987  3443271  1456365  1441215 3239099  3383593
            8192      64  667207 1516999  3572513  3596068 3876846 1509999 3722290  2737870  3862465  1731945  1615803 3161607  3041006
            8192     128  673683 1595322  3665114  3951754 4071635 1779301 3676880  2617325  3884297  1781238  1674548 3509746  3871604
            8192     256  711178 1626973  3758117  3945854 4483963 1833124 4001923  3021750  3665505  1776173  1707756 3588182  3804725
            8192     512  661173 1613829  3867682  3932757 4000060 1639393 3908154  3052352  9021131  1832245  1578103 3429182  3614985
            8192    1024  689735 1379587  3541946  3681608 3783776 1649230 3560297  1990737  5060489  1667074  1657664 3389267  3063510
            8192    2048  656348 1530104  3281793  3518732 2989673 1553276 3127933  2029181  3970936  1699563  1713462 3041813  3200182
            8192    4096  646932 1396237  2709800  2960564 2845337 1533245 2793973  1584507  2608978  1308204  2250617 2465218  2768534
            8192    8192  624486 1199761  2449053  2325248 2451149 1368052 2533940  1466309  2221945  1293528  1497886 2436548  2524445
           16384       4  458843  845759  1774101  1808797 1287633  725211 1174314   980952  1293231   781828   865508 1748017  1821840
           16384       8  552821 1123421  2291809  2321070 1804380 1052546 1686830  1424214  1869469  1126589  1127532 2296942  2301172
           16384      16  601116 1297945  2671019  2613523 2454547 1283425 2462639  1998483  2528421  1358876  1360571 2802610  2809370
           16384      32  641603 1387436  3183106  3148831 3011264 1520248 2762835  2417248  3008495  1466897  1496803 3184434  3189459
           16384      64  632759 1459328  3372601  3283330 3190051 1590809 3367148  2732949  3368468  1602046  1516892 3449287  3340144
           16384     128  683321 1457780  3164782  3297985 3179572 1615301 3513480  2873872  3484441  1606578  1618497 3429148  3385061
           16384     256  684008 1598729  3578802  3576381 3549228 1737279 3671931  2993033  3588895  1625042  1579184 3463019  3564139
           16384     512  683437 1567835  3489572  3537899 3553266 1495143 3561737  3026249  3511325  1440333  1660139 3571920  3570435
           16384    1024  661656 1525377  3380898  3421125 3386562 1612118 3423340  2406244  5506895  1437952  1504208 3254717  3366983
           16384    2048  660244 1429933  3130898  3236019 3175164 1612762 3139910  2172411  4100254  1478448  1457780 3073348  3185763
           16384    4096  639151 1395438  2766617  2820903 2749900 1530473 2702213  1755878  3075136  1636926  1577335 2556071  2725686
           16384    8192  636469 1412272  2677054  2550000 2607672 1402014 2692157  1565905  2628116  1333017  2292727 2414699  2583846
           16384   16384  619994 1306657  2582584  2572529 2589103 1458275 2589103  1470067  2579385  1411807  1464958 2342591  2405823
           32768      64  649219 1522113  3458035  3466058 3348102 1655456 3065315  2737511  3170901  1518799  1569425 3500130  3453256
           32768     128  673740 1553494  3515080  3540160 3421108 1617941 3504682  2922566  3526444  1664861  1674557 3595355  3623985
           32768     256  680640 1584533  3604029  3636066 3537062 1734118 3651910  2994194  3654338  1692206  1617617 3551320  3384128
           32768     512  684877 1536732  3623221  3558676 3585506 1743799 3725763  2963783  3484512  1606743  1545807 3576921  3587846
           32768    1024  665245 1544556  3530702  3561812 3498616 1709613 3454385  2469311  3474909  1370759  1475160 3449616  3497102
           32768    2048  661044 1534005  3365648  3370517 3343622 1657132 3252084  2171100  4268316  1407683  1355670 3264055  3318274
           32768    4096  649062 1378030  2859569  2896756 2825763 1452293 2825357  1812490  3207832  1459077  1385420 2771795  2881693
           32768    8192  642433 1388583  2670335  2715283 2621439 1533013 2488852  1525238  2490702  1488114  1594312 2440850  2551411
           32768   16384  637026 1377270  2517482  2623942 2616250 1452799 2554209  1455769  2493006  1309630  2270674 2376364  2533119
           65536      64  663447 1555453  3601281  3580640 3381456 1668557 3225970  2735680  3319268  1609828  1619493 3380956  3379003
           65536     128  641447 1585134  3539422  3547690 3446580 1688202 3448007  2942268  3454897  1616056  1465766 3436239  3439679
           65536     256  671467 1578417  3668814  3720055 3666514 1754504 3700324  3045643  3697139  1597655  1589020 3714977  3651804
           65536     512  684433 1614546  3625362  3688210 3540972 1703477 3424595  3097292  3618347  1496595  1510917 3521556  3569110
           65536    1024  617926 1479430  3410319  3504808 3510402 1674953 3457461  2282682  3454724  1409075  1463051 3382329  3275678
           65536    2048  629657 1493051  3022602  2761293 3039581 1531687 2997584  2195654  3158216  1332522  1314772 3002790  3129131
           65536    4096  597896 1356572  2728511  2713830 2730652 1505332 2531225  1585409  2625867  1303370  1380811 2793536  2895835
           65536    8192  631240 1352487  2652421  2705975 2683809 1521547 2685461  1600120  2661796  1420221  1489927 2668515  2673290
           65536   16384  643796 1400046  2650810  2713133 2712009 1474676 2538588  1518546  2514806  1569091  1572844 2495582  2598266
          131072      64  523691 1077610  3556222  3606734 3291284 1134851 3219336  2643173  3124627  1207814  1137580 3325589  3306487
          131072     128  419512 1142409  3428157  3487174 3401642 1187331 3616081  2920244  3380932  1157042  1213506 3693210  3555854
          131072     256  526197 1229373  3464407  3471824 3512394 1223460 3552660  2806440  3533798  1177719  1152980 3497022  3398194
          131072     512  554009 1067336  3611995  3632208 3603661 1203212 3828601  3083685  3873407  1143224   982519 3555923  3662260
